YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,CRS_DEP_TIME,DEP_DELAY_NEW,DEP_DEL15,CRS_ARR_TIME,ARR_DELAY,ARR_DEL15,CANCELLED,SkyCondition,DryBulbCelsius,Visibility,WindSpeed,WindDirection,StationPressure
2016,3,19,6,HA,50,12173,12478,1525,0,0,655,-11,0,0,FEW035 SCT042,26.1,10,15,30,29.98
2016,3,20,7,HA,50,12173,12478,1525,0,0,655,16,1,0,FEW032 SCT049 BKN065,26.7,10,16,70,29.95
2016,3,21,1,HA,50,12173,12478,1525,0,0,655,-15,0,0,FEW028 SCT050 SCT065,26.1,10,7,230,29.92
2016,3,22,2,HA,50,12173,12478,1525,0,0,655,26,1,0,FEW026 SCT050 BKN080,26.1,10,8,210,29.89
2016,3,23,3,HA,50,12173,12478,1525,0,0,655,36,1,0,SCT036 SCT050 SCT065,25.6,10,9,180,29.9
2016,3,24,4,HA,50,12173,12478,1525,0,0,655,17,1,0,FEW032 SCT040 SCT049,26.1,10,6,140,29.91
2016,3,25,5,HA,50,12173,12478,1525,0,0,655,-1,0,0,FEW035 SCT065 BKN110,23.3,10,3,110,29.93
2016,3,26,6,HA,50,12173,12478,1525,0,0,655,-4,0,0,FEW026 SCT038 SCT045,25.6,10,9,200,29.91
2016,3,27,7,HA,50,12173,12478,1525,0,0,655,20,1,0,FEW029 SCT038 SCT049,26.1,10,11,230,29.91
2016,3,28,1,HA,50,12173,12478,1525,0,0,655,36,1,0,FEW025 SCT037 SCT049,27.2,10,16,230,29.86
2016,3,29,2,HA,50,12173,12478,1525,0,0,655,-6,0,0,SCT028 BKN044 BKN055,26.7,10,13,270,29.85
2016,3,30,3,HA,50,12173,12478,1525,18,1,655,6,0,0,FEW033 SCT050,26.7,10,18,230,29.9
2016,3,31,4,HA,50,12173,12478,1525,0,0,655,16,1,0,FEW029 SCT042,26.7,10,11,140,30
2016,3,2,3,HA,51,12478,12173,905,0,0,1545,26,1,0,FEW046,6.1,10,16,290,29.52
2016,3,3,4,HA,51,12478,12173,1000,44,1,1640,37,1,0,CLR,-0.6,10,M,M,30.11
2016,3,4,5,HA,51,12478,12173,905,19,1,1545,88,1,0,OVC010,-1.1,0.75,13,50,29.98
